authority,mint,lon,lat,issues
florianus,cyzicus,27.892255,40.381323,4
florianus,serdica,23.333333,42.7,4
florianus,rome,12.5,41.9,40
probus,lugdunum,4.819444,45.759722,131
probus,ticinum,9.156562,45.185899,274
probus,tripolis_phoenicia,35.8387756,34.4290008,3
probus,siscia,16.371388,45.483168,244
probus,antiocheia_syria,36.15,36.2,12
probus,cyzicus,27.892255,40.381323,24
probus,serdica,23.333333,42.7,67
probus,rome,12.5,41.9,198
saturninus,alexandreia_egypt,29.909773,31.201435,1
carus,lugdunum,4.819444,45.759722,55
carus,ticinum,9.156562,45.185899,45
carus,tripolis_phoenicia,35.8387756,34.4290008,5
carus,siscia,16.371388,45.483168,35
carus,antiocheia_syria,36.15,36.2,19
carus,cyzicus,27.892255,40.381323,14
carus,rome,12.5,41.9,62
numerian,lugdunum,4.819444,45.759722,20
numerian,ticinum,9.156562,45.185899,10
numerian,tripolis_phoenicia,35.8387756,34.4290008,1
numerian,siscia,16.371388,45.483168,10
numerian,antiocheia_syria,36.15,36.2,6
numerian,cyzicus,27.892255,40.381323,2
numerian,rome,12.5,41.9,41
carinus,lugdunum,4.819444,45.759722,17
carinus,ticinum,9.156562,45.185899,18
carinus,tripolis_phoenicia,35.8387756,34.4290008,2
carinus,siscia,16.371388,45.483168,15
carinus,antiocheia_syria,36.15,36.2,3
carinus,cyzicus,27.892255,40.381323,8
carinus,rome,12.5,41.9,82
sabinus_julianus,siscia,16.371388,45.483168,5
carausius,londinium,-0.088949,51.513335,207
carausius,camulodunum,0.901298,51.889852,287
carausius,rotomagus,1.097921,49.441459,82
diocletian,tripolis_phoenicia,35.8387756,34.4290008,10
diocletian,antiocheia_syria,36.15,36.2,133
diocletian,heraclea_thracica,27.95528,40.97003,32
diocletian,alexandreia_egypt,29.909773,31.201435,74
diocletian,cyzicus,27.892255,40.381323,68
diocletian,serdica,23.333333,42.7,8
diocletian,thessalonica,22.95,40.633333,42
diocletian,nicomedia,29.916667,40.766667,38
allectus,londinium,-0.088949,51.513335,59
allectus,camulodunum,0.901298,51.889852,73
maximian,lugdunum,4.819444,45.759722,540
maximian,carthage,10.312944,36.847009,65
maximian,ticinum,9.156562,45.185899,166
maximian,treveri,6.641389,49.756667,832
maximian,siscia,16.371388,45.483168,279
maximian,aquileia,13.364601,45.768259,67
maximian,londinium,-0.088949,51.513335,50
maximian,rome,12.5,41.9,327
constantius_chlorus,lugdunum,4.819444,45.759722,10
constantius_chlorus,carthage,10.312944,36.847009,8
constantius_chlorus,ticinum,9.156562,45.185899,21
constantius_chlorus,treveri,6.641389,49.756667,79
constantius_chlorus,siscia,16.371388,45.483168,49
constantius_chlorus,aquileia,13.364601,45.768259,56
constantius_chlorus,londinium,-0.088949,51.513335,48
constantius_chlorus,rome,12.5,41.9,32
severus_ii,lugdunum,4.819444,45.759722,58
severus_ii,carthage,10.312944,36.847009,4
severus_ii,ticinum,9.156562,45.185899,32
severus_ii,treveri,6.641389,49.756667,33
severus_ii,siscia,16.371388,45.483168,14
severus_ii,aquileia,13.364601,45.768259,40
severus_ii,londinium,-0.088949,51.513335,4
galerius,heraclea_thracica,27.95528,40.97003,52
galerius,cyzicus,27.892255,40.381323,70
galerius,serdica,23.333333,42.7,53
galerius,thessalonica,22.95,40.633333,23
galerius,nicomedia,29.916667,40.766667,44
domitius_alexander,carthage,10.312944,36.847009,15
maximinus_daia,alexandreia_egypt,29.909773,31.201435,152
maximinus_daia,antiocheia_syria,36.15,36.2,156
maximinus_daia,cyzicus,27.892255,40.381323,45
maximinus_daia,nicomedia,29.916667,40.766667,27
maxentius,carthage,10.312944,36.847009,21
maxentius,ticinum,9.156562,45.185899,28
maxentius,aquileia,13.364601,45.768259,31
maxentius,ostia,12.287656,41.754855,65
maxentius,rome,12.5,41.9,155
licinius,siscia,16.371388,45.483168,89
licinius,antiocheia_syria,36.15,36.2,36
licinius,heraclea_thracica,27.95528,40.97003,71
licinius,alexandreia_egypt,29.909773,31.201435,33
licinius,cyzicus,27.892255,40.381323,19
licinius,serdica,23.333333,42.7,4
licinius,thessalonica,22.95,40.633333,30
licinius,nicomedia,29.916667,40.766667,50
licinius,rome,12.5,41.9,248
constantine_i,lugdunum,4.819444,45.759722,364
constantine_i,ticinum,9.156562,45.185899,241
constantine_i,treveri,6.641389,49.756667,847
constantine_i,arelate,4.630799,43.677616,416
constantine_i,siscia,16.371388,45.483168,245
constantine_i,antiocheia_syria,36.15,36.2,79
constantine_i,sirmium,19.610106,44.966447,67
constantine_i,heraclea_thracica,27.95528,40.97003,102
constantine_i,alexandreia_egypt,29.909773,31.201435,38
constantine_i,aquileia,13.364601,45.768259,165
