mint,lon,lat
aquinum,13.705626,41.492208
aradus,35.859448,34.858397
aratikos,-1.50248,41.511128
araxa,29.369329000000004,36.745487
arcadian_league,22.128459,37.410579
arcadian_league_early,21.85941,37.605985
arcesine,25.800018,36.800488
ardabil,48.2933,38.2498
ardashir_khurrah,52.56667,28.91667
arekorata,-1.65,42.03
arelate,4.630799,43.677616
arelate_com,4.62861,43.67694
argilos,23.814948,40.781195
argos_amphilochicum,21.1802673,38.935912
argos_argolis,22.716667,37.616667
argos_orestikon,21.25,40.45
ariassus,30.4885,37.1549
ariminum,12.566667,44.05
arkailikos,-3.066667,41.566667
arketurki,-1.1,41.7
arneae,29.8592455,36.42481875
arnsberg,8.083333,51.383333
arpi,15.555444,41.475654
arran,51.09333,32.70556
arsakoson,-1.64,42.8
arsaos,-1.7,42.8
arse,-0.278608,39.680031
arsinoe_argolis,23.383333,37.566667
arsinoe_crete,24.47,35.355456
artacoana,62.203056,34.341944
arwand,59.5815,36.3805
arycanda,30.059917,36.513517
arzanjan,39.49015,39.73919
arzarum,41.27694,39.90861
ascalon,34.54556,31.669994
aschaffenburg,9.15,49.966666666667
asculum,13.574951,42.855397
asea-achaean_league,22.266667,37.416667
asea,22.261978,37.404133
ashdod,34.652079,31.765635
asia_minor,29.53125,38.9594088
asido,-5.927867,36.467791
asine,21.95,36.783333
asopus,22.854554,36.73044
aspendus,31.1732,36.9382
assorus,14.423874,37.628434
assus,26.339656,39.491621
astacus_acarnania,21.087253,38.547154
astacus_bithynia,29.928794,40.714558
astarabad,54.5,37.0
astibus,22.200552,41.723108
astypalaea,26.35,36.55
astyra,26.682841,40.043192
atarneus,26.927974,39.093987
atella,14.268885,40.967386
athamanes,21.1802673,38.935912
athens,23.7225,37.974722
atiliana,-2.795062,42.488454
atrax,22.234955,39.589816
attaea,28.115927,39.515977
attaleia,30.7003,36.8939
attaleia_lydia,27.75,39.25
attendorn,7.9,51.116667
attica,23.7225,37.974722
attleboro_massachusetts,-71.286111,41.944444
attuda,28.803125,37.838479
augsburg,10.898333333333,48.371666666667
augusta,35.344087,37.245212
augusta_trajana,25.624922,42.42378
aureliopolis,27.877777,38.476241
aurich,7.4836111111111,53.471388888889
ausesken,2.254858016967932,41.92862891937745
autocane,26.75,39.25
avenio,4.806612,43.950668
axum,38.721522,14.125005
axus,24.8420191,35.3080511
ayasuluq,27.36849,37.95137
aydhaj,49.86725,31.83408
azetium,17.005771,41.009167
ba'albakk,36.21806,34.00583
babba,-6.490176,34.335111
babylon,44.42415,32.522907
bacharach,7.7694444444444,50.061111111111
bactra,66.90147,36.767814
baesuri,-7.445494,37.217562
baghdad,44.40088,33.34058
bagis,29.157916,38.665537
baicipo,-5.966667,36.25
bailo,-5.774433,36.09026
baitolo,2.247399,41.450127
balanaea,35.958453,35.195844
balarm,13.33561,38.13205
balbura,29.561145,36.96016
balkh,66.8972,36.75635
balleia,-6.166667,38.466667
balsa,-7.649884,37.125796
bamberg,10.891666666667,49.891666666667
barata,33.086824,37.496919
barby,11.866666666667,51.966666666667
barce,20.8745,32.4945
barcino,2.169911,41.387911
barda,47.12619,40.37577
bardasir,56.57433,29.92266
bargasa,28.412351,37.614949
bargylia,27.586569,37.195722
baria,-1.7728757858275908,37.24662553299897
baris,30.3239,37.871
barium,16.870331,41.129222
barskunes,-1.7,42.75
basti,-2.774569,37.490493
bayana,77.28985,26.90791
bayreuth,11.578333333333,49.948055555556
